sku,item_number,upc_ean_gtin,manufacturer_part_number,product_name,short_description,long_description,product_category,subcategory,brand,model,product_status,unit_of_measure,inventory_type,stocking_indicator,reorder_point,safety_stock,lead_time_days,min_order_qty,max_order_qty,cycle_count_class,lot_controlled,serial_controlled,standard_cost,average_cost,last_cost,list_price,selling_price,currency,price_effective_date,primary_vendor_id,primary_vendor_name,vendor_sku,vendor_lead_time_days,country_of_origin,weight_lbs,length_in,width_in,height_in,volume_cubic_in,color,material,hazardous_material_flag,warehouse_id,zone,aisle,rack,shelf,bin,warehouse_location_code,storage_type,seo_title,product_image_url,product_page_url,marketing_description,keywords,web_enabled,channel,created_date,created_by,last_modified_date,last_modified_by,version_number
STO-BRI-P262-PLUS-0011,ITM-000011,774348734714,MPN-BRI-345884,BrightView P262-PLUS NAS Drive,NAS Drive by BrightView,BrightView P262-PLUS NAS Drive for consumer and business electronics applications.,Storage,NAS Drive,BrightView,P262-PLUS,Active,EA,Finished Good,Stocked,86,71,8,1,250,A,N,Y,120.71,120.28,121.99,221.29,208.28,USD,2024-11-01,SUP-007,Hanoi Electronics Manufacturing,V-SUP-007-81582,33,Vietnam,6.03,16.09,14.3,1.18,271.5,Matte Black,Copper,N,WH-MIA-01,Z19,A25,R062,S01,B03,Z19-A25-R062-S01-B03,Cage,Buy BrightView P262-PLUS NAS Drive,https://example.com/images/STO-BRI-P262-PLUS-0011.jpg,https://example.com/products/STO-BRI-P262-PLUS-0011,Reliable nas drive with modern electronics features and dependable performance.,"storage,nas-drive,brightview,p262-plus",Y,E-commerce,2024-11-01,sku_admin,2025-02-08,mchen,7
MON-SIG-A960-PRO-0012,ITM-000012,298069901627,MPN-SIG-290556,SignalMax A960-PRO 4K Monitor,4K Monitor by SignalMax,SignalMax A960-PRO 4K Monitor for consumer and business electronics applications.,Monitor,4K Monitor,SignalMax,A960-PRO,Active,EA,Finished Good,Stocked,102,43,16,5,500,B,N,Y,385.42,399.51,378.79,622.29,583.55,USD,2024-07-23,SUP-001,Shenzhen Bright Electronics,V-SUP-001-41266,21,China,19.48,15.25,4.81,12.36,906.64,Matte Black,Aluminum,N,WH-MIA-01,Z03,A03,R097,S01,B02,Z03-A03-R097-S01-B02,Pallet,Buy SignalMax A960-PRO 4K Monitor,https://example.com/images/MON-SIG-A960-PRO-0012.jpg,https://example.com/products/MON-SIG-A960-PRO-0012,Reliable 4k monitor with modern electronics features and dependable performance.,"monitor,4k-monitor,signalmax,a960-pro",Y,Marketplace,2024-07-23,mchen,2024-07-28,jmartinez,12
MOU-COR-G721-PLUS-0013,ITM-000013,124190496631,MPN-COR-720859,CoreByte G721-PLUS Ergonomic Mouse,Ergonomic Mouse by CoreByte,CoreByte G721-PLUS Ergonomic Mouse for consumer and business electronics applications.,Mouse,Ergonomic Mouse,CoreByte,G721-PLUS,Inactive,EA,Finished Good,Stocked,67,15,47,1,2500,A,N,N,79.46,77.34,80.99,152.55,129.03,USD,2025-03-21,SUP-002,Taipei Core Components,V-SUP-002-95256,39,Taiwan,0.86,4.02,3.7,2.23,33.17,Matte Black,Mixed Materials,N,WH-MIA-01,Z04,A28,R047,S08,B02,Z04-A28-R047-S08-B02,Bulk,Buy CoreByte G721-PLUS Ergonomic Mouse,https://example.com/images/MOU-COR-G721-PLUS-0013.jpg,https://example.com/products/MOU-COR-G721-PLUS-0013,Reliable ergonomic mouse with modern electronics features and dependable performance.,"mouse,ergonomic-mouse,corebyte,g721-plus",N,Wholesale,2025-03-21,kpatel,2025-05-05,mchen,6
CAB-OMN-P349-PRO-0014,ITM-000014,996507527354,MPN-OMN-456871,OmniLink P349-PRO HDMI Cable,HDMI Cable by OmniLink,OmniLink P349-PRO HDMI Cable for consumer and business electronics applications.,Cable,HDMI Cable,OmniLink,P349-PRO,Active,BOX,Finished Good,Stocked,147,3,36,1,100,A,N,N,30.46,31.23,31.49,52.84,46.02,USD,2025-07-17,SUP-001,Shenzhen Bright Electronics,V-SUP-001-69473,39,China,0.37,4.99,6.15,1.27,38.97,Blue,Glass,N,WH-MIA-01,Z19,A24,R061,S06,B04,Z19-A24-R061-S06-B04,Pallet,Buy OmniLink P349-PRO HDMI Cable,https://example.com/images/CAB-OMN-P349-PRO-0014.jpg,https://example.com/products/CAB-OMN-P349-PRO-0014,Reliable hdmi cable with modern electronics features and dependable performance.,"cable,hdmi-cable,omnilink,p349-pro",Y,Wholesale,2025-07-17,arodriguez,2025-10-09,kpatel,2
AUD-ZEN-A856-PRO-0015,ITM-000015,498941343524,MPN-ZEN-114835,Zenith Digital A856-PRO Headphones,Headphones by Zenith Digital,Zenith Digital A856-PRO Headphones for consumer and business electronics applications.,Audio,Headphones,Zenith Digital,A856-PRO,Discontinued,EA,Finished Good,Stocked,37,37,5,1,2500,B,N,Y,119.36,120.47,126.93,201.96,173.38,USD,2024-03-16,SUP-008,Penang Device Assembly,V-SUP-008-17026,24,Malaysia,7.34,8.79,14.55,3.27,418.22,Silver,Glass,N,WH-MIA-01,Z16,A08,R009,S07,B04,Z16-A08-R009-S07-B04,Pallet,Buy Zenith Digital A856-PRO Headphones,https://example.com/images/AUD-ZEN-A856-PRO-0015.jpg,https://example.com/products/AUD-ZEN-A856-PRO-0015,Reliable headphones with modern electronics features and dependable performance.,"audio,headphones,zenith-digital,a856-pro",N,E-commerce,2024-03-16,kpatel,2024-08-10,kpatel,9
KEY-BRI-P561-PRO-0016,ITM-000016,496499091334,MPN-BRI-792509,BrightView P561-PRO Wireless Keyboard,Wireless Keyboard by BrightView,BrightView P561-PRO Wireless Keyboard for consumer and business electronics applications.,Keyboard,Wireless Keyboard,BrightView,P561-PRO,Active,EA,Finished Good,Stocked,66,24,38,1,250,A,N,N,71.64,72.18,68.36,122.95,111.0,USD,2024-08-18,SUP-005,Austin Tech Distribution,V-SUP-005-28643,14,USA,10.63,10.72,10.94,9.32,1093.02,Black,Steel,N,WH-MIA-01,Z19,A13,R055,S02,B05,Z19-A13-R055-S02-B05,Bulk,Buy BrightView P561-PRO Wireless Keyboard,https://example.com/images/KEY-BRI-P561-PRO-0016.jpg,https://example.com/products/KEY-BRI-P561-PRO-0016,Reliable wireless keyboard with modern electronics features and dependable performance.,"keyboard,wireless-keyboard,brightview,p561-pro",Y,B2B,2024-08-18,jmartinez,2025-01-30,arodriguez,5
STO-TER-R411-PLUS-0017,ITM-000017,648877190659,MPN-TER-362529,TerraWave R411-PLUS External SSD,External SSD by TerraWave,TerraWave R411-PLUS External SSD for consumer and business electronics applications.,Storage,External SSD,TerraWave,R411-PLUS,Active,EA,Finished Good,Stocked,63,88,56,10,2500,A,N,Y,125.92,129.76,127.33,303.54,257.17,USD,2024-11-24,SUP-005,Austin Tech Distribution,V-SUP-005-53228,57,USA,2.97,12.95,10.25,5.43,720.76,Matte Black,Glass,N,WH-MIA-01,Z03,A31,R045,S07,B03,Z03-A31-R045-S07-B03,Cage,Buy TerraWave R411-PLUS External SSD,https://example.com/images/STO-TER-R411-PLUS-0017.jpg,https://example.com/products/STO-TER-R411-PLUS-0017,Reliable external ssd with modern electronics features and dependable performance.,"storage,external-ssd,terrawave,r411-plus",Y,B2B,2024-11-24,gtovar,2025-05-14,jmartinez,1
STO-PIX-N431-BK-0018,ITM-000018,680876038597,MPN-PIX-755788,PixelPro N431-BK External SSD,External SSD by PixelPro,PixelPro N431-BK External SSD for consumer and business electronics applications.,Storage,External SSD,PixelPro,N431-BK,Active,EA,Finished Good,Non-stocked,18,28,20,10,250,B,N,Y,90.51,92.2,88.8,137.21,126.85,USD,2026-01-03,SUP-009,Berlin Network Systems,V-SUP-009-45838,58,Germany,0.5,9.94,4.92,8.57,419.11,Matte Black,Mixed Materials,N,WH-MIA-01,Z04,A30,R016,S03,B04,Z04-A30-R016-S03-B04,Bulk,Buy PixelPro N431-BK External SSD,https://example.com/images/STO-PIX-N431-BK-0018.jpg,https://example.com/products/STO-PIX-N431-BK-0018,Reliable external ssd with modern electronics features and dependable performance.,"storage,external-ssd,pixelpro,n431-bk",Y,Retail,2026-01-03,mchen,2026-03-18,kpatel,7
CAB-BRI-R239-BK-0019,ITM-000019,465840449972,MPN-BRI-568238,BrightView R239-BK Power Cable,Power Cable by BrightView,BrightView R239-BK Power Cable for consumer and business electronics applications.,Cable,Power Cable,BrightView,R239-BK,Active,PACK,Component,Stocked,146,99,37,5,1000,B,N,N,47.47,47.5,50.38,100.03,88.35,USD,2025-08-27,SUP-006,Monterrey Cable Works,V-SUP-006-23069,72,Mexico,2.26,9.35,6.87,1.47,94.42,Matte Black,Plastic,N,WH-MIA-01,Z05,A32,R005,S03,B05,Z05-A32-R005-S03-B05,Cage,Buy BrightView R239-BK Power Cable,https://example.com/images/CAB-BRI-R239-BK-0019.jpg,https://example.com/products/CAB-BRI-R239-BK-0019,Reliable power cable with modern electronics features and dependable performance.,"cable,power-cable,brightview,r239-bk",Y,Retail,2025-08-27,gtovar,2025-11-19,sku_admin,2
STO-PIX-G809-PRO-0020,ITM-000020,158657809134,MPN-PIX-338536,PixelPro G809-PRO USB Flash Drive,USB Flash Drive by PixelPro,PixelPro G809-PRO USB Flash Drive for consumer and business electronics applications.,Storage,USB Flash Drive,PixelPro,G809-PRO,Pending Launch,EA,Finished Good,Stocked,116,14,51,20,100,B,Y,Y,25.37,24.72,25.28,51.66,45.47,USD,2025-08-20,SUP-004,Tokyo Precision Devices,V-SUP-004-93611,37,Japan,8.11,12.62,12.3,2.53,392.72,Matte Black,Glass,N,WH-MIA-01,Z03,A40,R049,S04,B04,Z03-A40-R049-S04-B04,Cage,Buy PixelPro G809-PRO USB Flash Drive,https://example.com/images/STO-PIX-G809-PRO-0020.jpg,https://example.com/products/STO-PIX-G809-PRO-0020,Reliable usb flash drive with modern electronics features and dependable performance.,"storage,usb-flash-drive,pixelpro,g809-pro",N,Wholesale,2025-08-20,jmartinez,2025-09-25,sku_admin,11
AUD-NOV-P453-MAX-0021,ITM-000021,464743671369,MPN-NOV-476395,NovaVision P453-MAX Headphones,Headphones by NovaVision,NovaVision P453-MAX Headphones for consumer and business electronics applications.,Audio,Headphones,NovaVision,P453-MAX,Active,EA,Finished Good,Stocked,184,39,4,20,1000,B,N,Y,694.43,727.69,741.92,1248.73,1041.45,USD,2025-10-04,SUP-005,Austin Tech Distribution,V-SUP-005-67779,9,USA,11.7,6.91,12.43,2.97,255.1,Red,Steel,N,WH-MIA-01,Z07,A40,R033,S03,B01,Z07-A40-R033-S03-B01,Rack,Buy NovaVision P453-MAX Headphones,https://example.com/images/AUD-NOV-P453-MAX-0021.jpg,https://example.com/products/AUD-NOV-P453-MAX-0021,Reliable headphones with modern electronics features and dependable performance.,"audio,headphones,novavision,p453-max",Y,Wholesale,2025-10-04,gtovar,2026-03-18,arodriguez,12
KEY-ZEN-A905-MAX-0022,ITM-000022,588424745171,MPN-ZEN-247594,Zenith Digital A905-MAX Wireless Keyboard,Wireless Keyboard by Zenith Digital,Zenith Digital A905-MAX Wireless Keyboard for consumer and business electronics applications.,Keyboard,Wireless Keyboard,Zenith Digital,A905-MAX,Pending Launch,EA,Finished Good,Stocked,225,88,49,20,1000,C,N,N,67.62,65.67,68.96,115.19,100.96,USD,2024-08-14,SUP-005,Austin Tech Distribution,V-SUP-005-70852,43,USA,8.89,16.98,14.22,1.98,478.08,Graphite,Aluminum,N,WH-MIA-01,Z08,A31,R004,S06,B05,Z08-A31-R004-S06-B05,Shelf,Buy Zenith Digital A905-MAX Wireless Keyboard,https://example.com/images/KEY-ZEN-A905-MAX-0022.jpg,https://example.com/products/KEY-ZEN-A905-MAX-0022,Reliable wireless keyboard with modern electronics features and dependable performance.,"keyboard,wireless-keyboard,zenith-digital,a905-max",N,Wholesale,2024-08-14,gtovar,2025-01-26,kpatel,8
COM-ZEN-G238-PRO-0023,ITM-000023,758692617964,MPN-ZEN-134305,Zenith Digital G238-PRO Laptop,Laptop by Zenith Digital,Zenith Digital G238-PRO Laptop for consumer and business electronics applications.,Computer,Laptop,Zenith Digital,G238-PRO,Inactive,EA,Finished Good,Stocked,60,58,31,1,500,A,N,N,928.76,948.81,889.63,1473.91,1333.64,USD,2024-05-08,SUP-002,Taipei Core Components,V-SUP-002-82641,31,Taiwan,42.81,21.19,7.28,4.21,649.45,Gray,Copper,N,WH-MIA-01,Z20,A02,R007,S06,B02,Z20-A02-R007-S06-B02,Pallet,Buy Zenith Digital G238-PRO Laptop,https://example.com/images/COM-ZEN-G238-PRO-0023.jpg,https://example.com/products/COM-ZEN-G238-PRO-0023,Reliable laptop with modern electronics features and dependable performance.,"computer,laptop,zenith-digital,g238-pro",N,B2B,2024-05-08,jmartinez,2024-09-29,gtovar,1
MOU-COR-G356-SL-0024,ITM-000024,102053950240,MPN-COR-232915,CoreByte G356-SL Gaming Mouse,Gaming Mouse by CoreByte,CoreByte G356-SL Gaming Mouse for consumer and business electronics applications.,Mouse,Gaming Mouse,CoreByte,G356-SL,Discontinued,EA,Finished Good,Stocked,139,16,50,1,1000,B,N,N,76.16,74.54,77.34,156.45,126.26,USD,2025-12-03,SUP-001,Shenzhen Bright Electronics,V-SUP-001-68138,14,China,1.15,5.73,3.32,1.45,27.58,White,ABS Plastic,N,WH-MIA-01,Z01,A04,R062,S07,B04,Z01-A04-R062-S07-B04,Shelf,Buy CoreByte G356-SL Gaming Mouse,https://example.com/images/MOU-COR-G356-SL-0024.jpg,https://example.com/products/MOU-COR-G356-SL-0024,Reliable gaming mouse with modern electronics features and dependable performance.,"mouse,gaming-mouse,corebyte,g356-sl",N,Retail,2025-12-03,sku_admin,2025-12-30,kpatel,5
ACC-BRI-R432-PRO-0025,ITM-000025,984789611836,MPN-BRI-573489,BrightView R432-PRO Laptop Stand,Laptop Stand by BrightView,BrightView R432-PRO Laptop Stand for consumer and business electronics applications.,Accessory,Laptop Stand,BrightView,R432-PRO,Active,EA,Component,Stocked,216,60,28,5,100,B,N,N,126.51,126.5,122.69,244.18,197.78,USD,2025-07-29,SUP-002,Taipei Core Components,V-SUP-002-26021,57,Taiwan,1.64,4.45,7.61,7.7,260.76,Red,Polycarbonate,N,WH-MIA-01,Z12,A09,R072,S01,B05,Z12-A09-R072-S01-B05,Shelf,Buy BrightView R432-PRO Laptop Stand,https://example.com/images/ACC-BRI-R432-PRO-0025.jpg,https://example.com/products/ACC-BRI-R432-PRO-0025,Reliable laptop stand with modern electronics features and dependable performance.,"accessory,laptop-stand,brightview,r432-pro",Y,Wholesale,2025-07-29,arodriguez,2025-12-19,kpatel,10
MOU-NOV-G619-SL-0026,ITM-000026,273158514936,MPN-NOV-986209,NovaVision G619-SL Ergonomic Mouse,Ergonomic Mouse by NovaVision,NovaVision G619-SL Ergonomic Mouse for consumer and business electronics applications.,Mouse,Ergonomic Mouse,NovaVision,G619-SL,Active,EA,Finished Good,Non-stocked,214,81,42,20,2500,A,N,N,64.15,65.78,61.18,111.1,100.57,USD,2025-06-27,SUP-005,Austin Tech Distribution,V-SUP-005-69460,48,USA,1.4,4.05,2.36,1.21,11.57,Silver,ABS Plastic,N,WH-MIA-01,Z13,A05,R019,S01,B01,Z13-A05-R019-S01-B01,Rack,Buy NovaVision G619-SL Ergonomic Mouse,https://example.com/images/MOU-NOV-G619-SL-0026.jpg,https://example.com/products/MOU-NOV-G619-SL-0026,Reliable ergonomic mouse with modern electronics features and dependable performance.,"mouse,ergonomic-mouse,novavision,g619-sl",Y,B2B,2025-06-27,sku_admin,2025-08-21,sku_admin,10
COM-COR-A872-MAX-0027,ITM-000027,014767976438,MPN-COR-219346,CoreByte A872-MAX Laptop,Laptop by CoreByte,CoreByte A872-MAX Laptop for consumer and business electronics applications.,Computer,Laptop,CoreByte,A872-MAX,Active,EA,Finished Good,Stocked,33,38,46,20,2500,B,N,Y,618.11,648.25,591.61,1265.25,1159.84,USD,2025-06-29,SUP-004,Tokyo Precision Devices,V-SUP-004-83233,50,Japan,35.0,20.23,10.05,2.6,528.61,White,Polycarbonate,N,WH-MIA-01,Z16,A28,R023,S03,B04,Z16-A28-R023-S03-B04,Shelf,Buy CoreByte A872-MAX Laptop,https://example.com/images/COM-COR-A872-MAX-0027.jpg,https://example.com/products/COM-COR-A872-MAX-0027,Reliable laptop with modern electronics features and dependable performance.,"computer,laptop,corebyte,a872-max",Y,Marketplace,2025-06-29,jmartinez,2025-12-26,mchen,1
STO-PIX-G539-MAX-0028,ITM-000028,664160529751,MPN-PIX-557925,PixelPro G539-MAX External SSD,External SSD by PixelPro,PixelPro G539-MAX External SSD for consumer and business electronics applications.,Storage,External SSD,PixelPro,G539-MAX,Active,EA,Finished Good,Stocked,116,77,28,10,100,B,N,Y,143.39,139.96,148.02,248.54,214.98,USD,2024-07-21,SUP-004,Tokyo Precision Devices,V-SUP-004-95918,14,Japan,13.62,8.94,11.46,8.37,857.53,Silver,Mixed Materials,N,WH-MIA-01,Z05,A16,R014,S03,B03,Z05-A16-R014-S03-B03,Bulk,Buy PixelPro G539-MAX External SSD,https://example.com/images/STO-PIX-G539-MAX-0028.jpg,https://example.com/products/STO-PIX-G539-MAX-0028,Reliable external ssd with modern electronics features and dependable performance.,"storage,external-ssd,pixelpro,g539-max",Y,B2B,2024-07-21,mchen,2024-09-03,jmartinez,8
